code	name_ar	name_fr	name_en	wilaya_code
2218	مولاي سليسن	MOULAY SLISSEN	MOULAY SLISSEN	22
1430	الرشايقة	RECHAIGA	RECHAIGA	14
906	الشريعة	CHREA	CHREA	9
1610	الابيار	EL BIAR	EL BIAR	16
1349	عين غرابة	AIN GHORABA	AIN GHORABA	13
1923	الرصفة	ROSFA	ROSFA	19
1903	بني عزيز	BENI-AZIZ	BENI-AZIZ	19
1502	عين الحمام	AIN-EL-HAMMAM	AIN-EL-HAMMAM	15
4325	عين التين	AIN TINE	AIN TINE	43
3802	برج بونعامة	BORDJ BOUNAAMA	BORDJ BOUNAAMA	38
629	شميني	CHEMINI	CHEMINI	6
1507	إيرجـــن	IRDJEN	IRDJEN	15
2202	تسالة	TESSALA	TESSALA	22
1520	إعــكورن	YAKOURENE	YAKOURENE	15
528	قصر بلزمة	KSAR BELLEZMA	KSAR BELLEZMA	5
3109	عين الترك	AIN TURK	AIN TURK	31
1025	عين الحجر	AIN EL HADJAR	AIN EL HADJAR	10
1727	بن يعقوب	BENYAGOUB	BENYAGOUB	17
806	لحمر	LAHMAR	LAHMAR	8
812	تبلبالة	TABELBALA	TABELBALA	8
2122	عين بوزيان	AIN BOUZIANE	AIN BOUZIANE	21
4105	أولاد إدريس	OULED DRISS	OULED DRISS	41
3301	إيليزي	ILLIZI	ILLIZI	33
4436	بلعاص	BELAAS	BELAAS	44
4605	بوزجار	BOUZEDJAR	BOUZEDJAR	46
1439	سرغين	SERGHINE	SERGHINE	14
1352	بني صميل	BENI SMIEL	BENI SMIEL	13
517	كيمل	KIMMEL	KIMMEL	5
4313	تيبرقنت	TIBERGUENT	TIBERGUENT	43
4837	مرجة سيدي عابد	MERDJA SIDI ABED	MERDJA SIDI ABED	48
1648	الدويرة	DOUIRA	DOUIRA	16
1519	إيلولة أومـــالو	ILLOULA OUMALOU	ILLOULA OUMALOU	15
4831	سوق الحد	SOUK EL HAD	SOUK EL HAD	48
524	سفيان	SEFIANE	SEFIANE	5
1026	جباحية	DJEBAHIA	DJEBAHIA	10
1809	الميلية	EL MILIA	EL MILIA	18
2013	عين السخونة	AIN SEKHOUNA	AIN SEKHOUNA	20
3810	العيون	LAYOUNE	LAYOUNE	38
126	السبع	SEBAA	SEBAA	1
323	الحويطة	EL HAOUAITA	EL HAOUAITA	3
919	بني تامو	BENI-TAMOU	BENI-TAMOU	9
425	عين فكرون	AIN FEKROUN	AIN FEKROUN	4
540	أولاد عوف	OULED AOUF	OULED AOUF	5
2620	الربعية	REBAIA	REBAIA	26
1620	الدار البيضاء	DAR EL BEIDA	DAR EL BEIDA	16
1943	بوقاعة	BOUGAA	BOUGAA	19
4827	الرمكة	RAMKA	RAMKA	48
913	صوحان	SOUHANE	SOUHANE	9
1907	ذراع قبيلة	DRAA-KEBILA	DRAA-KEBILA	19
4838	أولاد سيدي الميهوب	OULED SIDI MIHOUB	OULED SIDI MIHOUB	48
3916	سيدي عون	SIDI AOUN	SIDI AOUN	39
1941	قنزات	GUENZET	GUENZET	19
2926	سيق	SIG	SIG	29
1334	سيدي العبدلي	SIDI ABDELLI	SIDI ABDELLI	13
404	بحير الشرقي	BEHIR CHERGUI	BEHIR CHERGUI	4
4621	الحساسنة	HASSASNA	HASSASNA	46
536	الشمرة	CHEMORA	CHEMORA	5
2920	خلوية	KHALOUIA	KHALOUIA	29
1211	الكويف	EL KOUIF	EL KOUIF	12
2248	بئر الحمام	BIR EL HAMMAM	BIR EL HAMMAM	22
4219	أحمر العين	AHMER EL AIN	AHMER EL AIN	42
543	الجزار	DJEZZAR	DJEZZAR	5
4212	الشعيبة	CHAIBA	CHAIBA	42
3808	سيدي العنتري	SIDI LANTRI	SIDI LANTRI	38
4602	شعبة اللحم	CHAABAT EL HAM	CHAABAT EL HAM	46
4301	ميلة	MILA	MILA	43
3116	بوسفر	BOUSFER	BOUSFER	31
3924	تندلة	TENEDLA	TENEDLA	39
1929	بيضاء برج	BEIDHA BORDJ	BEIDHA BORDJ	19
3303	دبداب	DEBDEB	DEBDEB	33
3113	سيدي الشحمي	SIDI CHAMI	SIDI CHAMI	31
4512	البيوض	El BIODH	El BIODH	45
3804	الأزهرية	LAZHARIA	LAZHARIA	38
1325	عين النحالة	AIN NEHALA	AIN NEHALA	13
635	بني كسيلة	BENI K'SILA	BENI K'SILA	6
1024	زبربر	Z'BARBAR (el isseri )	Z'BARBAR (el isseri )	10
2222	مرين	MERINE	MERINE	22
1803	العوانة	EL AOUANA	EL AOUANA	18
1955	ماوكلان	MAOUAKLANE	MAOUAKLANE	19
2512	ابن زياد	IBN ZIAD	IBN ZIAD	25
418	الزرق	ZORG	ZORG	4
505	سريانة	SERIANA	SERIANA	5
1314	عمير	AMIEUR	AMIEUR	13
1915	الدهامشة	DEHAMCHA	DEHAMCHA	19
2224	عين تندمين	AIN TINDAMINE	AIN TINDAMINE	22
2901	معسكر	MASCARA	MASCARA	29
315	الحاج مشري	HADJ MECHRI	HADJ MECHRI	3
4226	سيدي سميان	SIDI SEMIANE	SIDI SEMIANE	42
1561	أقني قغران	AGOUNI-GUEGHRANE	AGOUNI-GUEGHRANE	15
1041	عين العلوي	AIN LALOUI	AIN LALOUI	10
1435	حمادية	HAMADIA	HAMADIA	14
3105	السانية	ES SENIA	ES SENIA	31
1405	عين دزاريت	AIN DZARIT	AIN DZARIT	14
2506	الخروب	EL KHROUB	EL KHROUB	25
2809	شلال	CHELLAL	CHELLAL	28
553	أولاد سي سليمان	OULED SI SLIMANE	OULED SI SLIMANE	5
3427	العش	El euch	El euch	34
424	مسكيانة	MESKIANA	MESKIANA	4
4215	الداموس	DAMOUS	DAMOUS	42
1553	أغريب	AGHRIBS	AGHRIBS	15
2109	السبت	ES SEBT	ES SEBT	21
4205	بورقيقة	BOURKIKA	BOURKIKA	42
2412	بوحمدان	BOU HAMDANE	BOU HAMDANE	24
2127	عين قشرة	AIN KECHRA	AIN KECHRA	21
2634	الزبيرية	ZOUBIRIA	ZOUBIRIA	26
1806	الامير عبد القادر	EMIR ABDELKADER	EMIR ABDELKADER	18
3513	شعبة العامر	CHABET EL AMEUR	CHABET EL AMEUR	35
3219	المحرة	EL MEHARA	EL MEHARA	32
319	أفلو	AFLOU	AFLOU	3
1948	قلال	GUELLAL	GUELLAL	19
3504	برج منايل	BORDJ MENAIEL	BORDJ MENAIEL	35
715	زريبة الوادي	ZERIBET EL OUED	ZERIBET EL OUED	7
3210	بوقطب	BOUGTOUB	BOUGTOUB	32
1557	سوق الإثنين	SOUK-EL-TENINE	SOUK-EL-TENINE	15
3803	ثنية الاحد	THENIET EL HAD	THENIET EL HAD	38
4420	عين السلطان	AIN-SOLTANE	AIN-SOLTANE	44
1640	رغاية	REGHAIA	REGHAIA	16
2118	أولاد حبابة	OULED HABBABA	OULED HABBABA	21
921	بني مراد	BENI MERED	BENI MERED	9
3429	تسامرت	TASSAMERT	TASSAMERT	34
3417	أولاد أبراهم	OULED BRAHEM	OULED BRAHEM	34
4431	بطحية	BATHIA	BATHIA	44
109	تيميمون	TIMIMOUN	TIMIMOUN	1
2129	بين الويدان	BIN EL OUIDEN	BIN EL OUIDEN	21
915	اولاد سلامة	OULED SLAMA	OULED SLAMA	9
1722	سلمانة	SELMANA	SELMANA	17
1108	عين صالح	AIN SALAH	AIN SALAH	11
4707	العطف	EL ATTEUF	EL ATTEUF	47
4002	متوسة	M'TOUSSA	M'TOUSSA	40
1919	بوسلام	BOUSSELAM	BOUSSELAM	19
1911	الحامة	HAMMA	HAMMA	19
3701	تندوف	TINDOUF	TINDOUF	37
2917	البرج	EL BORDJ	EL BORDJ	29
3216	البنود	EL BNOUD	EL BNOUD	32
3016	تماسين	TEMACINE	TEMACINE	30
3527	بودواو البحري	BOUDOUAOU EL BAHRI	BOUDOUAOU EL BAHRI	35
3209	اربوات	ARBAOUAT	ARBAOUAT	32
901	البليدة	BLIDA	BLIDA	9
1530	أيت بومهدي	AIT BOUMAHDI	AIT BOUMAHDI	15
322	وادي مزي	OUED M'ZI	OUED M'ZI	3
2919	بنيان	BENIAN	BENIAN	29
4432	تاشتة زقاغة	TACHETA ZEGAGHA	TACHETA ZEGAGHA	44
2921	المنور	EL MENAOUER	EL MENAOUER	29
4704	بريان	BERRIANE	BERRIANE	47
2430	مجاز الصفاء	MEDJEZ SFA	MEDJEZ SFA	24
2912	غريس	GHRISS	GHRISS	29
541	بومقر	BOUMAGUEUR	BOUMAGUEUR	5
623	بني جليل	BENI DJELLIL	BENI DJELLIL	6
2907	الحشم	EL HACHEM	EL HACHEM	29
1651	اولاد فايت	OULED FAYET	OULED FAYET	16
4203	الأرهاط	LARHAT	LARHAT	42
2630	بن شكاو	BEN CHICAO	BEN CHICAO	26
2206	مزاورو	MEZAOUROU	MEZAOUROU	22
3925	العقلة	EL OGLA	EL OGLA	39
3221	سيدي سليمان	SIDI SLIMANE	SIDI SLIMANE	32
1208	الحمامات	HAMMAMET	HAMMAMET	12
3103	بئر الجير	BIR EL DJIR	BIR EL DJIR	31
3126	عين البية	AIN BIYA	AIN BIYA	31
548	وادي الطاقة	OUED TAGA	OUED TAGA	5
411	الضلعة	DHALAA	DHALAA	4
733	خنقة سيدي ناجي	KHENGUET SIDI NADJI	KHENGUET SIDI NADJI	7
2945	نسمط	NESMOT	NESMOT	29
521	تغرغار	TIGHARGHAR	TIGHARGHAR	5
3529	لقاطة	LEGHATA	LEGHATA	35
1212	مرسط	MORSOTT	MORSOTT	12
4122	الراقوبة	RAGOUBA	RAGOUBA	41
3913	حاسي خليفة	HASSI KHALIFA	HASSI KHALIFA	39
1335	سبدو	SEBDOU	SEBDOU	13
2010	الحساسنة	EL HASSASNA	EL HASSASNA	20
1819	بوسيف أولاد عسكر	BOUSSIF OULED ASKEUR	BOUSSIF OULED ASKEUR	18
1925	بلاعة	BELLAA	BELLAA	19
726	فوغالة	FOUGHALA	FOUGHALA	7
4108	تاورة	TAOURA	TAOURA	41
1215	العقلة المالحة	EL OGLA EL MALHA	EL OGLA EL MALHA	12
4314	بوحاتم	BOUHATEM	BOUHATEM	43
4706	القرارة	EL GUERRARA	EL GUERRARA	47
2655	سيدي الربيع	SIDI RABIE	SIDI RABIE	26
4609	عين الأربعاء	AIN EL ARBAA	AIN EL ARBAA	46
1736	تعظميت	TAADMIT	TAADMIT	17
1732	بنهار	BENHAR	BENHAR	17
4611	شنتوف	CHENTOUF	CHENTOUF	46
639	سيدي عيش	SIDI-AICH	SIDI-AICH	6
301	الأغواط	LAGHOUAT	LAGHOUAT	3
1635	اولاد شبل	OULED CHEBEL	OULED CHEBEL	16
1019	العجيبة	EL ADJIBA	EL ADJIBA	10
925	جبابرة	DJEBABRA	DJEBABRA	9
2204	مصطفى بن ابراهيم	MOSTEFA  BEN BRAHIM	MOSTEFA  BEN BRAHIM	22
218	أولاد عباس	OULED ABBES	OULED ABBES	2
2508	بني حميدان	BENI HAMIDANE	BENI HAMIDANE	25
1523	زكري	ZEKRI	ZEKRI	15
914	مفتاح	MEFTAH	MEFTAH	9
4330	عين البيضاء أحريش	AIN BEIDA HARRICHE	AIN BEIDA HARRICHE	43
1028	تاقديت	TAGUEDITE	TAGUEDITE	10
1427	فرندة	FRENDA	FRENDA	14
4218	بواسماعيل	BOU ISMAIL	BOU ISMAIL	42
1218	بوخضرة	BOUKHADRA	BOUKHADRA	12
4806	سيدي لزرق	SIDI LAZREG	SIDI LAZREG	48
2721	عين سيدي الشريف	AIN-SIDI CHERIF	AIN-SIDI CHERIF	27
2201	سيدي بلعباس	SIDI BEL-ABBES	SIDI BEL-ABBES	22
2610	بوعيش	BOUAICHE	BOUAICHE	26
1406	عين الذهب	AIN DEHEB	AIN DEHEB	14
1928	عين ولمان	AIN OULMENE	AIN OULMENE	19
4124	وادي الكبريت	OUED KEBRIT	OUED KEBRIT	41
1309	جبالة	DJEBALA	DJEBALA	13
4409	بوراشد	BOURACHED	BOURACHED	44
120	المطارفة	METARFA	METARFA	1
2307	الشرفة	CHEURFA	CHEURFA	23
1552	بني يني	BENI-YENNI	BENI-YENNI	15
1225	بولحاف الدير	BOULHAF DYR	BOULHAF DYR	12
1828	وجانة	OUDJANA	OUDJANA	18
2426	هيليوبوليس	HELIOPOLIS	HELIOPOLIS	24
1544	أقرو	AKERROU	AKERROU	15
4106	تيفاش	TIFFECH	TIFFECH	41
4711	حاسي الفحل	HASSI FEHAL	HASSI FEHAL	47
209	حرشون	HARCHOUN	HARCHOUN	2
3907	كوينين	KOUININE	KOUININE	39
2208	سيدي علي بوسيدي	SIDI ALI BOUSSIDI	SIDI ALI BOUSSIDI	22
3903	وادي العلندة	OUED EL ALENDA	OUED EL ALENDA	39
1721	قرنيني	GUERNINI	GUERNINI	17
1351	منصورة	MANSOURAH	MANSOURAH	13
1425	السبعين	SEBAINE	SEBAINE	14
4829	لحلاف	LAHLEF	LAHLEF	48
2409	الدهوارة	DAHOUARA	DAHOUARA	24
4832	دار بن عبد الله	DAR BEN ABDELAH	DAR BEN ABDELAH	48
1550	مقــلع	MEKLA	MEKLA	15
2937	بوهني	BOU HENNI	BOU HENNI	29
1537	أزفون	AZEFFOUN	AZEFFOUN	15
3521	أولاد عيسى	OULED AISSA	OULED AISSA	35
4504	تيوت	TIOUT	TIOUT	45
4102	سدراتة	SEDRATA	SEDRATA	41
533	وادي الماء	OUED EL MA	OUED EL MA	5
4812	زمورة	ZEMMOURA	ZEMMOURA	48
545	عين التوتة	AIN TOUTA	AIN TOUTA	5
3012	حاسي بن عبد الله	HASSI BEN ABDELLAH	HASSI BEN ABDELLAH	30
537	وادي الشعبة	OUED CHAABA	OUED CHAABA	5
516	أريس	ARRIS	ARRIS	5
1636	بئر توتة	BIR TOUTA	BIR TOUTA	16
809	مشرع هواري بومدين	MACHRAA-HOUARI-BOUMEDIENE	MACHRAA-HOUARI-BOUMEDIENE	8
3812	أولاد بسام	OULED BESSAM	OULED BESSAM	38
1433	وادي ليلي	OUED LILLI	OUED LILLI	14
308	تاجموت	TADJEMOUT	TADJEMOUT	3
1213	العقلة	EL OGLA	EL OGLA	12
231	بوزغاية	BOUZEGHAIA	BOUZEGHAIA	2
4608	تارقة	TERGA	TERGA	46
426	الرحية	RAHIA	RAHIA	4
1950	حمام قرقور	HAMMAM GUERGOUR	HAMMAM GUERGOUR	19
620	درقينة	DARGUINA	DARGUINA	6
2643	عوامري	OUAMRI	OUAMRI	26
2001	سعيدة	SAIDA	SAIDA	20
1022	أهل القصر	AHL EL KSAR	AHL EL KSAR	10
701	بسكرة	BISKRA	BISKRA	7
1953	بني وسين	BENI OUSSINE	BENI OUSSINE	19
1204	سطح قنطيس	STAH GUENTIS	STAH GUENTIS	12
4813	بني درقن	BENI DERGOUN	BENI DERGOUN	48
4123	خميسة	KHEMISSA	KHEMISSA	41
117	دلدول	DELDOUL	DELDOUL	1
725	مليلي	M'LILI	M'LILI	7
2720	سيرات	SIRAT	SIRAT	27
4610	تامزورة	TAMZOURA	TAMZOURA	46
4101	سوق أهراس	SOUK AHRAS	SOUK AHRAS	41
1102	ابلسة	ABELSA	ABELSA	11
1814	قاوس	KAOUS	KAOUS	18
2730	صفصاف	SAFSAF	SAFSAF	27
4404	خميس مليانة	KHEMIS-MILIANA	KHEMIS-MILIANA	44
3622	وادي الزيتون	OUED ZITOUN	OUED ZITOUN	36
1637	سيدي موسى	SIDI MOUSSA	SIDI MOUSSA	16
3702	أم العسل	OUM EL ASSEL	OUM EL ASSEL	37
428	أولاد قاسم	OULED GACEM	OULED GACEM	4
2828	أولاد منصور	OULED MANSOUR	OULED MANSOUR	28
2616	الحمدانية	EL HAMDANIA	EL HAMDANIA	26
1959	الولجة	EL-OULDJA	EL-OULDJA	19
4125	ترقالت	TERRAGUELT	TERRAGUELT	41
3123	مسرغين	MESSERGHIN	MESSERGHIN	31
1717	مسعد	MESSAAD	MESSAAD	17
4430	المخاطرية	MEKHATRIA	MEKHATRIA	44
4433	عين بويحيى	AIN-BOUYAHIA	AIN-BOUYAHIA	44
2402	نشماية	NECHMAYA	NECHMAYA	24
918	وادي جر	OUED  DJER	OUED  DJER	9
2644	سي المحجوب	SI MAHDJOUB	SI MAHDJOUB	26
1306	صبرة	SABRA	SABRA	13
1003	قرومة	GUERROUMA	GUERROUMA	10
118	سالي	SALI	SALI	1
2134	بوشطاطة	BOUCHETATA	BOUCHETATA	21
4104	المشروحة	MACHROHA	MACHROHA	41
4121	سافل الويدان	SAFEL EL OUIDEN	SAFEL EL OUIDEN	41
3202	رقاصة	ROGASSA	ROGASSA	32
1214	بئر الذهب	BIR DHEHEB	BIR DHEHEB	12
1708	بيرين	BIRINE	BIRINE	17
546	حيدوسة	HIDOUSSA	HIDOUSSA	5
317	تاويالة	TAOUIALA	TAOUIALA	3
1423	سيدي حسني	SIDI HOSNI	SIDI HOSNI	14
203	بنايرية	BENAIRIA	BENAIRIA	2
1644	زرالدة	ZERALDA	ZERALDA	16
4802	وادي رهيو	OUED-RHIOU	OUED-RHIOU	48
2701	مستغانم	MOSTAGANEM	MOSTAGANEM	27
1532	بني دوالة	BENI-DOUALA	BENI-DOUALA	15
559	بومية	BOUMIA	BOUMIA	5
1710	زكار	ZACCAR	ZACCAR	17
501	باتنة	BATNA	BATNA	5
2203	سيدي ابراهيم	SIDI BRAHIM	SIDI BRAHIM	22
128	تيمياوين	TIMIAOUINE	TIMIAOUINE	1
1556	أيت يحي موسى	AIT YAHIA MOUSSA	AIT YAHIA MOUSSA	15
730	مخادمة	MEKHADMA	MEKHADMA	7
2817	عين الحجل	AIN EL HADJEL	AIN EL HADJEL	28
4411	العبادية	EL-ABADIA	EL-ABADIA	44
2130	فلفلة	FILFILA	FILFILA	21
2624	بعطة	BAATA	BAATA	26
4407	جليدة	DJELIDA	DJELIDA	44
802	عرق فراج	ERG-FERRADJ	ERG-FERRADJ	8
2846	ولتام	OULTEME	OULTEME	28
547	ثنية العابد	TENIET EL ABED	TENIET EL ABED	5
2131	الشرايع	CHERAIA	CHERAIA	21
3904	البياضة	BAYADHA	BAYADHA	39
2607	العمارية	EL OMARIA	EL OMARIA	26
3618	الشط	ECHATT	ECHATT	36
415	عين الديس	AIN DISS	AIN DISS	4
215	الهرانفة	HERENFA	HERENFA	2
3510	زموري	ZEMMOURI	ZEMMOURI	35
103	شروين	CHAROUINE	CHAROUINE	1
3430	عين تسرة	AIN TESRA	AIN TESRA	34
535	بوزينة	BOUZINA	BOUZINA	5
224	الشطية	CHETTIA	CHETTIA	2
2646	بني سليمان	BENI SLIMANE	BENI SLIMANE	26
4019	يابوس	YABOUS	YABOUS	40
115	فنوغيل	FENOUGHIL	FENOUGHIL	1
3814	اليوسفية	YOUSSOUFIA	YOUSSOUFIA	38
3507	الناصرية	NACIRIA	NACIRIA	35
616	أمالو	AMALOU	AMALOU	6
414	الجازية	EL DJAZIA	EL DJAZIA	4
4625	ولهاصة الغرابة	OULHACA EL GHERABA	OULHACA EL GHERABA	46
1945	تاشودة	TACHOUDA	TACHOUDA	19
4415	واد الجمعة	OUED DJEMAA	OUED DJEMAA	44
2933	فراقيق	FERRAGUIG	FERRAGUIG	29
4012	جلال	DJELLAL	DJELLAL	40
3115	المرسى الكبير	MERS EL KEBIR	MERS EL KEBIR	31
1007	ديرة	DIRAH	DIRAH	10
2501	قسنطينة	CONSTANTINE	CONSTANTINE	25
1039	المعمورة	MAAMORA	MAAMORA	10
4618	عين الطلبة	AIN TOLBA	AIN TOLBA	46
4612	سيدي بن عدة	SIDI BEN ADDA	SIDI BEN ADDA	46
532	بني فضالة الحقانية	BENI FOUDHALA EL HAKANIA	BENI FOUDHALA EL HAKANIA	5
1432	تاقدمت	TAGDEMPT	TAGDEMPT	14
3619	زريزر	ZERIZER	ZERIZER	36
2133	الغدير	EL GHEDIR	EL GHEDIR	21
1821	أولاد يحيى خدروش	OULED YAHIA KHADROUCH	OULED YAHIA KHADROUCH	18
534	تالخمت	TALKHAMT	TALKHAMT	5
3409	برج الغدير	BORDJ GHEDIR	BORDJ GHEDIR	34
640	القصر	EL KSEUR	EL KSEUR	6
1529	معـــاتقة	MAATKAS	MAATKAS	15
1330	مسيردة الفواقة	M'SIRDA FOUAGA	M'SIRDA FOUAGA	13
1416	السوقر	SOUGUEUR	SOUGUEUR	14
1728	زعفران	ZAAFRANE	ZAAFRANE	17
1343	البويهي	BOUIHI	BOUIHI	13
3009	الزاوية العابدية	ZAOUIA EL ABIDIA	ZAOUIA EL ABIDIA	30
1032	ريدان	RIDANE	RIDANE	10
211	سيدي عكاشة	SIDI AKKACHA	SIDI AKKACHA	2
2236	سيدي دحو الزاير	SIDI DAHOU ZAIRS	SIDI DAHOU ZAIRS	22
1622	ابن عكنون	BEN AKNOUN	BEN AKNOUN	16
4223	سيدي راشد	SIDI RACHED	SIDI RACHED	42
1906	عين الروى	AIN-ROUA	AIN-ROUA	19
4708	زلفانة	ZELFANA	ZELFANA	47
1826	برج الطهر	BORDJ T'HAR	BORDJ T'HAR	18
920	بوعرفة	BOUARFA	BOUARFA	9
4214	شرشال	CHERCHELL	CHERCHELL	42
1321	العزايل	AZAIL	AZAIL	13
606	تامقرة	TAMOKRA	TAMOKRA	6
4622	عين الكيحل	AIN KIHAL	AIN KIHAL	46
729	بوشقرون	BOUCHAKROUN	BOUCHAKROUN	7
2244	تغاليمت	TEGHALIMET	TEGHALIMET	22
1438	سيدي عبد الرحمن	SIDI ABDERRAHMANE	SIDI ABDERRAHMANE	14
3910	تغزوت	TAGHZOUT	TAGHZOUT	39
4823	القلعة	KALAA	KALAA	48
3122	سيدي بن يبقى	SIDI BEN YEBKA	SIDI BEN YEBKA	31
2723	منصورة	MANSOURAH	MANSOURAH	27
2631	سيدي دامد	SIDI DEMED	SIDI DEMED	26
309	الخنق	KHENEG	KHENEG	3
4418	الحسانية	HASSANIA	HASSANIA	44
3408	عين تاغروت	AIN TAGHROUT	AIN TAGHROUT	34
232	عين مران	AIN MERANE	AIN MERANE	2
4206	خميستي	KHEMISTI	KHEMISTI	42
1546	بني زيكــي	BENI-ZIKKI	BENI-ZIKKI	15
2108	بن عزوز	BEN AZZOUZ	BEN AZZOUZ	21
2241	سيدي حمادوش	SIDI HAMADOUCHE	SIDI HAMADOUCHE	22
3926	اميه وانسة	MIH OUANSA	MIH OUANSA	39
1315	عين يوسف	AIN YOUCEF	AIN YOUCEF	13
1442	تيدة	TIDDA	TIDDA	14
4220	بوهارون	BOU HAROUN	BOU HAROUN	42
1501	تيزي وزو	TIZI-OUZOU	TIZI-OUZOU	15
1027	أغبالو	AGHBALOU	AGHBALOU	10
4020	خيران	KHIRANE	KHIRANE	40
